1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
RGS4,4,1,4,4,4,2,2,2,2,3,3,4,4,3,3,2
FCGR2B,4,1,2,4,4,2,2,2,2,2,2,4,4,2,2,2
ATG4A,4,1,3,2,3,2,2,2,2,3,3,3,4,3,3,2
T62684,4,1,3,2,3,2,2,2,2,3,3,3,2,3,3,2
YRDC,4,1,3,2,4,2,2,2,2,3,3,3,4,3,3,2
DUSP6,4,1,3,2,3,2,2,2,2,3,3,3,4,3,3,2
GRPEL1,4,1,3,4,4,2,2,2,2,3,3,4,4,3,3,2
TMEM2,4,1,2,4,4,2,2,2,2,2,4,4,4,2,2,2
FGF7,4,1,4,4,4,2,2,2,2,3,3,4,4,3,3,2
W52295,4,1,3,2,3,2,2,2,2,3,3,3,4,3,3,2
W44677,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
H02190,3,2,3,2,3,4,1,4,4,4,4,4,3,4,3,4
ADRA2C,3,2,3,3,3,3,3,3,4,4,4,3,3,4,4,4
T82817,3,2,3,3,3,4,1,4,4,4,3,3,3,4,3,4
FURIN,4,2,3,4,4,4,2,4,4,4,4,4,4,4,4,4
MKI67,3,4,3,4,4,3,3,3,3,3,4,4,4,3,4,3
RPS2,3,4,3,4,4,3,3,3,3,3,4,4,4,3,4,3
SDF1,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
RAN,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
ITGA6,1,2,1,4,4,3,3,3,3,4,4,4,4,4,4,3
ACP1,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
CDK7,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
CNDP2,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
AA028949,3,4,3,4,4,3,3,3,3,3,4,4,4,3,4,3
RANBP1,3,4,3,4,4,3,3,3,3,3,4,4,4,3,4,3
SDCBP2,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
NOP56,4,2,3,4,4,3,2,3,3,3,4,4,4,3,4,3
TRIM3,3,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
HSPA8,4,2,3,4,4,3,3,3,3,3,4,4,4,3,4,3
TBCB,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,3
CENPN,4,1,4,4,4,2,2,2,2,3,4,4,4,3,3,2
T54874,2,1,2,4,4,2,2,2,2,2,2,4,4,2,2,2
R16047,2,2,2,4,4,2,2,2,3,2,4,4,4,2,4,3
ESM1,4,2,2,4,4,2,2,2,2,4,4,4,4,4,4,2
DSP,4,2,2,4,4,2,2,2,3,2,4,4,4,2,4,3
HNT,2,2,2,4,4,2,2,2,3,2,4,4,4,2,4,3
OPCML,2,2,2,4,4,2,2,2,3,2,4,4,4,2,4,3
DNAJB9,2,2,2,4,4,2,2,2,4,4,4,4,4,4,4,4
ZDHHC18,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4
NEK7,1,2,1,4,4,3,3,3,3,4,4,4,4,4,4,3
R99596,4,2,3,4,4,3,2,3,3,4,4,4,4,4,4,3
R39465,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3
OXTR,2,2,2,4,4,3,2,3,3,2,4,4,4,2,4,3
MPC1,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
EBNA1BP2,4,2,3,4,4,3,3,3,3,3,4,4,4,3,4,3
R78225,4,2,2,4,4,2,2,2,2,2,4,4,4,2,4,2
H01821,4,1,2,4,4,2,2,2,2,2,4,4,4,2,2,2
HSPB7,4,2,2,4,4,2,2,2,2,4,4,4,4,4,4,2
GCH1,4,2,2,4,4,2,2,2,2,4,4,4,4,4,4,2
TIMP3,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
DDX21,4,1,3,4,4,2,2,2,2,3,3,4,4,3,3,2
ANPEP,4,1,3,4,4,2,2,2,2,3,4,4,4,3,3,2
W74639,4,1,3,4,4,2,2,2,2,3,4,4,4,3,3,2
PPIF,4,1,3,4,4,2,2,2,2,3,4,4,4,3,3,2
CTPS,4,1,4,4,4,2,2,2,2,3,4,4,4,3,3,2
MICAL2,4,1,3,4,4,2,2,2,2,3,4,4,4,3,3,2
TM4SF1,4,1,2,4,4,2,2,2,2,2,2,4,4,2,2,2
NEU1,4,1,3,4,4,2,2,2,2,3,4,4,4,3,3,2
OGFRL1,4,1,2,4,4,2,2,2,2,2,4,4,4,2,4,2
RCAN1,4,1,2,4,4,2,2,2,2,2,4,4,4,2,2,2
AA057801,4,1,2,4,4,2,2,2,2,2,4,4,4,2,2,2
MYO10,2,1,2,4,4,2,2,2,2,2,4,4,4,2,2,2
SERPINB2,4,1,4,4,4,2,2,2,2,3,4,4,4,3,3,2
TGM2,4,2,2,4,4,3,2,3,3,4,4,4,4,4,4,3
SSR3,4,2,2,4,4,3,2,3,3,4,4,4,4,4,4,3
S1PR1,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
CXCL12,4,2,3,4,4,2,2,2,3,3,4,4,4,3,4,3
MT1M,4,2,3,4,4,3,3,3,3,3,4,4,4,3,4,3
WDR1,4,2,3,4,4,2,2,2,2,3,4,4,4,3,4,2
PLOD2,4,2,3,4,4,3,3,3,3,4,4,4,4,4,4,3
ATP5G1,4,2,3,4,4,2,2,2,2,3,4,4,4,3,4,2
S100A16,2,2,2,4,4,2,2,2,3,2,4,4,4,2,4,3
PFKP,3,2,3,4,4,3,2,3,3,3,4,4,4,3,4,3
SLC20A1,4,2,3,4,4,2,2,2,2,3,4,4,4,3,4,2
CYCS,4,2,3,4,4,3,2,3,3,4,4,4,4,4,4,3
PSMD2,4,2,3,4,4,2,2,2,3,4,4,4,4,4,4,3
MT1L,4,2,3,4,4,3,2,2,3,3,4,4,4,3,4,3
MT2A,4,2,3,4,4,2,2,2,3,3,4,4,4,3,4,3
PTMA,3,2,3,4,4,3,2,2,3,4,4,4,4,4,4,3
T85217,4,2,2,4,4,2,2,2,2,2,4,4,4,2,4,2
GPM6B,4,2,2,4,4,2,2,2,4,4,4,4,4,4,4,4
H85111,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
FAM101B,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
MT1G,4,2,3,4,4,3,2,3,3,4,4,4,4,4,4,3
N55459,4,2,3,4,4,2,2,2,3,4,4,4,4,4,4,3
ESPL1,4,2,3,4,4,2,2,2,3,4,4,4,4,4,4,3
KIAA0368,2,2,2,4,4,2,2,2,2,2,4,4,4,2,4,2
CDH2,4,2,2,4,4,2,2,2,2,4,4,4,4,4,4,2
SERPIND1,4,2,3,4,4,2,2,2,2,3,4,4,4,3,4,2
H48459,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
MRPL35,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
TMEM106A,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
R21876,4,2,3,4,4,2,2,2,2,4,4,4,4,4,4,2
TFPI2,4,1,4,4,4,2,2,2,2,2,4,4,4,2,4,2
PKM2,2,1,2,4,4,2,2,2,3,4,4,4,4,4,4,3
CCT5,4,1,2,4,4,2,2,2,2,2,4,4,4,2,2,2
CLTC,2,1,2,4,4,4,2,4,4,4,2,2,2,4,2,4
RGS12,2,1,2,2,4,4,2,4,4,4,2,2,2,4,2,4
ACLY,2,1,2,4,4,2,2,2,4,2,2,2,2,2,2,4
FLNB,4,1,2,2,4,2,2,2,2,2,2,4,4,2,2,2
TPM1,2,2,2,4,4,4,2,4,4,4,4,4,4,4,2,4
AA046572,2,2,2,4,4,2,2,2,4,2,2,4,4,2,2,4
MAP2K3,4,1,4,2,3,2,2,2,2,3,3,3,2,3,3,2
NET1,3,1,4,3,3,2,2,2,2,3,3,3,4,3,3,2
UAP1,3,1,3,3,3,2,2,2,2,3,3,3,4,3,3,2
PLAUR,4,1,4,2,4,2,2,2,2,3,3,4,4,3,3,2
NDRG2,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
R36703,4,1,4,3,3,2,2,2,2,3,3,3,4,3,3,2
F3,4,1,4,3,3,2,2,2,2,3,3,3,4,3,3,2
PTGS2,4,1,3,3,3,2,2,2,2,3,3,3,4,3,3,2
ID3,2,2,2,4,4,2,2,2,3,4,4,4,4,4,4,3
KLF10,1,3,4,1,1,1,1,1,1,4,1,1,1,4,1,1
ACKR3,4,1,4,2,3,2,2,2,2,3,3,3,2,3,3,2
CTGF,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2
ARV1,2,3,2,2,2,4,1,4,4,4,2,2,2,4,2,4
N58770,1,3,4,2,1,4,1,4,4,4,1,1,1,4,1,4
CDKN1A,3,3,3,3,3,4,1,4,1,3,3,3,1,3,3,4
ZNF584,3,3,3,3,3,4,1,4,4,3,3,3,1,3,3,4
NR4A3,3,3,3,3,3,1,1,1,1,3,3,3,1,3,3,2
BHLHE40,3,3,3,3,3,4,1,4,1,3,3,3,1,3,3,4
MPC2,3,3,4,3,3,2,1,2,1,3,3,3,3,3,3,2
JUNB,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1
AA044235,3,3,4,2,3,4,1,4,4,3,3,3,2,3,3,4
MCL1,3,3,3,3,3,4,1,4,2,3,3,3,2,3,3,2
NAMPT,4,1,4,2,3,2,2,2,2,3,3,3,2,3,3,2
EDN1,4,1,4,2,3,2,1,2,2,3,3,3,2,3,3,2
IL6,4,1,4,2,3,2,2,2,2,3,3,3,2,3,3,2
SGK1,3,3,4,2,3,4,1,4,4,4,3,3,1,4,3,4
KLF6,3,3,3,3,3,4,1,4,4,4,3,3,1,4,3,4
DUSP1,3,3,3,3,3,4,1,4,4,4,3,3,1,4,3,4
